"","category","name","reviewer","reviews","veridied","date.of.review","ratings"
"41","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Steven B.","This is a nice shirt, breathable material and convenient pocket and sunglasses loop.Minor bit of feedback: the collar is a bit bulky, so that’s something you need to be aware of and hopefully the manufacturer looks at.","Verified Purchase","Reviewed in the United Kingdom on 27 May 2022","4.3 out of 5 stars"
"42","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Martin Hill","Great shirt,  breathable, quality made, and very comfortable to wear. I use these for my work in the NHS.  Thank you","Verified Purchase","Reviewed in the United Kingdom on 11 May 2023","4.0 out of 5 stars"
"43","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Greatdogs","It was a bit rigid and small. More like a medium than a large. Returned which was a bit of an inconvenience. Quality was ok. Seller was good about it","Verified Purchase","Reviewed in the United Kingdom on 8 November 2022","5.0 out of 5 stars"
"44","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","lutz Eichhorn","Nach 1 Wäsche um 1 Größe eingelaufen,leider, ansonsten genau wie beschrieben.","Verified Purchase","Reviewed in Germany on 26 September 2023","3.0 out of 5 stars"
"45","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","GLETS President","Our team was in Niamey, Niger from May-September 2021.  Temperatures reached 108F.  We wore this shirt on a daily basis, when working, both inside and outside.  Compared to other similar shirts, these shirts had the best combination of proper appearance (collars/polo), utility (able to hand glasses on chest and put pencils or pens in the sleeve pocket), breathability (felt the coolest of several brands in the heat of 108F), dried reasonably fast, easy to clean in a shower or bucket, and a very comfortable fit.  The material tended to snag more than some other materials on other shirts, but those other shirts felt hotter.  If you are looking for a decent shirt that is presentable and functional this is a great work shirt.","Verified Purchase","Reviewed in Germany on 4 October 2021","2.0 out of 5 stars"
"46","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Rico P.","Gute Qualität, passt.","Verified Purchase","Reviewed in Germany on 26 January 2023","5.0 out of 5 stars"
"47","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Dj Hille","Es ist sehr angenehm zu tragen.. gute Qualität preis Leistung stimmt.","Verified Purchase","Reviewed in Germany on 27 July 2023","4.0 out of 5 stars"
"48","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","gary tench","Good quality great price","Verified Purchase","Reviewed in the United Kingdom on 19 October 2022","5.0 out of 5 stars"
"49","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","simon berry","Kudos to the photographer, they made the shirt look very nice. Sadly in reality, the only thing that is the same is the colour (is correct despite my pic coming out looking dark) the shirt itself is shoddily made and looks nothing like as smart/sleek as implied by the product image. Sizing is not on point either, it comes up big and loose on (a Small it is not!).Sending back!","Verified Purchase","Reviewed in the United Kingdom on 25 March 2023","4.0 out of 5 stars"
"50","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","simon berry","Gute Qualität","Verified Purchase","Reviewed in Germany on 6 August 2023","2.0 out of 5 stars"
